w,time_exponent,bo1_0,bz1_0,bz2_0,bo1_1,bz1_1,bz2_1,bt_1,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g1,g2,b1,b2,lmd
0.24,0.5629,0.0005182887432921,0.0237695964220652,5.408753993381599e-05,2.1899499195821174e-06,0.0067906018811128,0.0,3.557843224542922e-06,0.0,4.323168697369722e-14,2.539108949611564e-15,0.0,0.0,0.0,1.2558832650989132e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.930100849136702e-10,0.9999999991827176,0.9999159045201788,1.0,0.0438041849624497
0.26,0.5864,0.000588243886014,0.0240926211440431,5.9008252711759466e-05,1.4096811557916122e-06,0.006896632864324,1.6458040119833365e-12,2.348257141279092e-06,3.1688836828278474e-10,1.1259723419472645e-12,2.1438558755922506e-12,7.017824063468563e-13,0.0,1.6653460205869172e-12,3.1675232307542827e-10,5.197412316268447e-12,5.869477912090525e-12,1.824813048555146e-12,1.1449432137707405e-12,6.35987065285209e-10,1.412417880779736e-13,6.366547041522762e-10,9.477124124598652e-13,0.0,1.1650824081439412e-12,1.870669938058649e-12,4.044510075240855e-09,1.937578438414597e-12,1.7512661898918292e-08,0.9999999732050217,0.9995826254182836,0.9999999999278892,0.0395883869161328
0.28,0.6088,0.0006591146107363,0.0243206470299188,6.042607848736383e-05,8.506523763400122e-07,0.0069755568261067,9.17601277109109e-11,1.5412471225930313e-06,1.0049783968629684e-10,1.9354436277618607e-10,6.376059373690958e-10,8.121232035290905e-10,1.4642136000551839e-10,5.0650931399261e-10,3.063073528525695e-10,1.907426223552722e-09,1.723218228650474e-09,4.97389332871126e-10,4.1064240401485136e-10,1.79242285387286e-10,3.846507874450669e-10,6.314673899801633e-10,6.954214499731892e-10,4.1535170713870304e-10,7.983379940267901e-10,5.781071462101531e-10,6.595302584780295e-10,5.095244857784934e-10,1.9543377725116642e-08,0.9999998658656462,0.999877781907265,0.9999999852459114,0.0361964245256916
0.29,0.6197,0.0006951756815824,0.0243926705459904,6.271326688959993e-05,3.812126528496238e-07,0.0070095846643346,0.0,6.731205316105176e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999614796073344,1.0,0.0347763220158912
0.3,0.6303,0.0007351015649596,0.024434376079061,6.397680111353459e-05,3.615290130286961e-07,0.0070351222069315,1.1900307066076983e-09,6.52940027763694e-07,2.4494514236003224e-10,6.06549156402283e-10,2.496014935331178e-09,2.223042576620113e-09,5.448814416333444e-10,2.029411723490022e-09,6.921844955147734e-10,9.51348431787354e-09,3.5636585068081303e-09,0.0,4.665460562857414e-09,8.20893887197066e-10,4.6825627484668894e-09,1.7144848795957991e-09,2.210071857493762e-09,3.766880255695528e-10,7.077232660742075e-10,5.502937717208369e-09,4.1500766251337724e-10,1.3576961026078908e-09,9.155394621883405e-08,0.9999995150399126,0.9972857836909876,0.9999999034679252,0.0335296706886265
0.32,0.6508,0.0008219608733841,0.024433308176528,6.671993100874382e-05,1.755323841835025e-07,0.0070758215326212,2.6155588546114435e-10,4.358647782243076e-07,0.0,8.850450406371754e-11,6.79401816445829e-08,1.6825756577508582e-10,1.3089783215593838e-10,1.7060645136041411e-10,1.4362892836608814e-10,1.286429930476383e-09,1.100886144430678e-07,3.3109623942864156e-10,2.621493540856621e-08,1.3239564705550372e-10,1.4712718738641758e-10,2.6470249112247484e-08,2.6492313240883723e-08,3.850086631227871e-10,1.1439505767328264e-10,1.3562335249914342e-08,1.9073631156463201e-10,8.822420537949552e-11,3.34836295250492e-07,0.9999996154711353,0.9999999577424395,0.999999991475594,0.0315209015669507
0.34,0.6705,0.0008956151069526,0.0243913240927688,6.871369339923426e-05,6.965233961649998e-08,0.0070925113478124,2.7360627553224048e-11,1.624854977427453e-07,1.7460934064147074e-11,1.0832875950425705e-11,3.6887335688768146e-11,2.0359406851387723e-10,1.39424754776079e-11,6.051681212807698e-13,2.0113012332332325e-11,5.198518713939816e-10,1.0724412410994148e-10,1.1029364992093888e-10,5.6878728730945125e-11,4.0419326464368526e-11,5.592856273079951e-11,1.2551951676732288e-10,6.439018345929455e-11,6.187784886676828e-11,1.5568875898320867e-11,1.7195213042689526e-10,3.3157666148688916e-11,1.977102856034556e-11,2.9072370818541942e-09,0.9999999887557808,0.9826237566037546,0.99999999893344,0.0301106293757911
0.36,0.6895,0.0009785806618438,0.0242465878682858,7.144806197555716e-05,2.8365693357041304e-10,0.0070957540356203,2.012655927723505e-10,4.153330580187296e-08,2.240218710682608e-11,7.294374847307537e-11,2.525103554589827e-10,2.8127170702539376e-10,7.137560719823989e-11,5.280705221572776e-10,2.9987932380619727e-10,3.037462399461966e-09,6.914971797838207e-10,1.1593932107088294e-09,5.2412700924769e-10,1.9451848134556487e-10,1.0184635797781986e-09,9.96461838221524e-10,1.074576607259491e-09,5.522680615324004e-10,6.487687076873719e-11,1.3611023539935255e-09,1.3195095571134548e-10,7.627925179593549e-11,2.9790961692135026e-08,0.9999999541289964,0.9986481551761948,0.999999998876958,0.0292552883916499
0.38,0.7077,0.001066080705836,0.0240217577345062,7.344238796015282e-05,4.2533906494603057e-13,0.0070846924322691,4.593906369413123e-13,5.361818857261472e-13,0.0,0.0,4.901031498783536e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.771361888117832e-11,0.0,0.0,0.0,4.444258998969422e-11,0.0,0.0,0.0,0.0,0.0,2.0891166059955967e-10,0.9999999991999864,0.9915778495357066,1.0,0.0289234246347108
0.4,0.7254,0.0011529353535211,0.0237359057218072,7.45153300637642e-05,1.0371222693457872e-10,0.0070585387005927,2.5267556770616893e-10,1.2292734806090635e-10,0.0,0.0,1.0806050815726919e-12,0.0,1.3532140442568174e-11,1.0364844354677038e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.930697174795229e-11,0.0,0.0,7.862773365263291e-13,0.0,1.0,0.9997363298700404,0.9999999994711148,0.0290872495808971
0.42,0.7424,0.0012456686293715,0.0233694451898294,7.658982507838895e-05,1.138608161313476e-11,0.0070222615964702,0.0,9.495564263917628e-12,0.0,0.0,0.0,0.0,3.2486885041895703e-14,0.0,0.0,1.0460633031879349e-07,0.0,0.0,6.542707217785598e-13,0.0,0.0,0.0,0.0,1.265058768531817e-12,1.4698527804364693e-12,0.0,5.2988255517960676e-14,0.0,3.607481378698345e-07,0.9999996392682624,0.9997453553003488,0.99999999999427,0.0297309702419497
