Key-Distribution,"(w1, w2, w3)",time_exponent,t0_0,t1_0,th_0,z1_0,z2_0,z3_0,o1_0,o2_0,t0_1,t1_1,th_1,z1_1,z2_1,z3_1,o1_1,o2_1,g,b1,b2,b3,lmd
Kyber B(3),"(15/64, 6/64, 1/64)",1.1778,0.0164377151,0.000240686015,0.000451754737,0.0433256421,0.00137099604,2.35121851e-06,0.00820340455,7.26635127e-05,1.30512579e-07,4.9486712e-05,0.000383651388,0.0168561219,7.37042237e-08,6.3737971e-11,7.98840779e-09,1.08257989e-12,0.843724489,0.999992545,0.981143926,0.989166977,0.00464686226
Dilithium U(3),"(1/7, 1/7, 1/7)",1.496,0.0382116134,0.00361291123,0.0102554789,0.0181214691,0.0182278842,0.000463559415,0.0186931634,0.00298974016,0.00183079439,1.28924253e-11,9.69784769e-12,0.0946591294,0.000108449339,1.98398612e-15,0.00436827125,1.68996651e-12,0.743661934,1.0,1.0,0.910863136,0.0302867681
