w,time_exponent,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g,b,delta_1,delta_2,lmd
0.667,0.8595,5.08816242e-13,1.4975211e-11,9.95245295e-09,9.7352814e-09,5.511076e-11,4.18245952e-12,6.91829858e-11,0.000804192266,1.37287725e-09,0.00512229984,5.63690805e-06,1.6965229e-10,3.53176472e-06,0.054156875,0.000167287613,1.95178562e-06,3.64283757e-10,0.00168439761,1.2789966e-09,6.1773334e-11,0.999999709,0.999999833,0.029022452,0.00360445611,0.038431506
0.668,0.8597,6.44053216e-12,2.31893678e-13,1.60134312e-08,2.69501907e-09,2.58118766e-13,1.37133756e-11,5.65709324e-11,0.000807642837,1.66204061e-09,0.00517461179,6.85958155e-06,6.92530718e-12,3.16494346e-06,0.0541228308,0.000135946054,1.46170849e-06,1.36058394e-11,0.00171679318,1.25058417e-13,1.11277123e-11,0.999997234,0.999999606,0.0293285917,0.00379159943,0.0385271784
