Key-Distribution,"(w1, w2)",time_exponent,t0_0,t1_0,z1_0,z2_0,z3_0,o1_0,o2_0,z1_1,z2_1,z3_1,o1_1,o2_1,t0_1,t1_1,th_1,g,b1,b2,lmd
Kyber B(2),"(4/16, 1/16)",1.0294,0.0109724957,3.70461447e-07,0.0342698096,0.000469795884,5.27952065e-08,0.00448481253,1.36562831e-07,0.0113614475,2.27004525e-08,2.77851605e-10,1.22931554e-07,5.9327539e-09,3.87939659e-07,8.16120854e-09,7.6500259e-18,0.893894967,0.994997237,0.994627865,0.00684402999
Dilithium U(2),"(1/5, 1/5)",1.2483,0.0330765775,0.00075320313,0.0400923774,0.00555166966,4.50176617e-06,0.0153802939,0.000133814076,0.0296626918,3.34811048e-14,1.98539095e-13,1.74508885e-13,4.31811336e-14,2.90984496e-13,3.41235508e-05,0.000445744918,0.719120196,1.0,0.924480852,0.034949367
