w,time_exponent,o1_0,z1_0,z2_0,o1_1,z1_1,z2_1,t_1,g,b,lmd
0.6,0.8609,0.0038496765876821,0.0296819171553073,0.0003214146963237,4.611068675227848e-17,0.009511393338931,4.36645318730116e-18,1.2102717263756983e-18,0.80228996609649,0.9689255329065884,0.0467806177093841
0.62,0.8692,0.0043521598997668,0.0302393438702652,0.0003804179495322,1.2530577981973956e-11,0.0098800590680332,4.943057933927363e-14,1.1844683729233012e-11,0.7796205125705079,0.9637805830355782,0.04924034006623
0.64,0.8765,0.0048960773129145,0.0306331315727656,0.0004462761822069,1.545294049048629e-13,0.0102495178998705,0.0,0.0,0.7579326077813592,0.9585415793921936,0.0518242322991625
0.66,0.8828,0.0054806074156577,0.0308606567859884,0.0005184653605487,0.0,0.0106203269972473,0.0,0.0,0.7370336279696398,0.9532670177890392,0.0545442531259917
0.68,0.888,0.0061055198527053,0.0309145767206151,0.000596954039012,2.4483738490028493e-13,0.010993745193344,1.5282175728371258e-14,1.412960500382383e-13,0.7167528507936962,0.9479986670070414,0.057412275568107
0.7,0.892,0.0067703694905407,0.0307923046823611,0.0006810945570454,2.887305043428189e-13,0.0113708234306507,0.0,0.0,0.6969147270128998,0.942778816836774,0.0604422795430556
0.72,0.8949,0.0074739971506483,0.030487373575138,0.0007706620225708,1.1456668005249708e-12,0.0117522528915945,0.0,8.638725032453683e-13,0.6773794957326218,0.9376632189090872,0.0636520616864062
0.74,0.8966,0.0082154745916454,0.0300005125701264,0.0008648843937364,6.776906705891321e-13,0.01213887235065,4.9451788955571716e-17,1.2371291305304616e-16,0.6579811514846303,0.932708237438691,0.0670638594110597
0.76,0.897,0.0089952273589878,0.0293292412484617,0.0009621347425139,3.027568944308589e-12,0.0125316476845009,0.0,3.5373897165116466e-12,0.6385763978808763,0.9279919371902734,0.0707081846166708
0.78,0.896,0.0098122211389377,0.0284707400037161,0.00106187798884,0.0,0.0129313712773613,1.208240557193493e-13,1.7005610364052414e-13,0.6190321247667774,0.9235890679205938,0.0746220515548905
0.8,0.8936,0.010667397244918,0.0274221578297263,0.0011623606523589,0.0,0.0133392422659865,0.0,0.0,0.5992193274411485,0.9196084224921413,0.0788586284767705
0.82,0.8895,0.0115634513354101,0.0261783525584815,0.0012619268978564,1.890412546655725e-12,0.0137576997181533,1.1234464021580492e-14,2.4685574517141548e-12,0.5790096545509331,0.9161852810116248,0.0834916169912989
0.84,0.8838,0.0125055549744846,0.0247302426374937,0.0013580979666864,4.903833488399908e-21,0.0141902688625601,2.218541106727065e-19,8.258362084058469e-21,0.5582942337665667,0.9135036730458256,0.0886276037107673
0.86,0.8762,0.0135042006986075,0.0230637272889097,0.0014481311871928,3.410093568420068e-12,0.0146439375353361,1.2599022344580917e-13,3.690828471440652e-12,0.5369759644003149,0.911830184593545,0.0944299780832101
0.88,0.8665,0.0145805846890512,0.021152633812408,0.0015271430800466,2.0869016518495012e-14,0.0151318104736516,7.330673442943081e-15,5.432833986103487e-14,0.5150070756095646,0.9115692228451496,0.1011618447988247
0.9,0.8546,0.0157748352624317,0.0189540962055916,0.0015876928005186,0.0,0.0156789909049727,5.715506801882412e-17,0.0,0.4924398566017753,0.9133601036812684,0.1092747215896206
0.92,0.8401,0.0161649109271107,0.0161560555531736,0.0015272344560961,0.0,0.0166947069434006,1.852909361908205e-15,0.0,0.4519270360855943,0.9144224302390797,0.1066626330076074
0.94,0.8212,0.0153616464525673,0.0128101202430839,0.0013226663036099,6.343652774408724e-08,0.0185985378501589,0.0,1.5072554805673982e-07,0.3899105314930683,0.9150008229723726,0.0886486710610817
0.96,0.7969,0.014092879814694,0.00899346340607,0.0010457003733212,0.0001413145414484,0.0190418314856114,1.1606078987675063e-06,0.0002539551774701,0.3225289334801364,0.9211610091248128,0.0656567910561768
0.98,0.7652,0.0125924207658122,0.0047338457869296,0.0006731825022592,0.0007456384941255,0.0169518529446542,3.883657063044095e-05,0.0010461095598427,0.2502098558873028,0.9410932616441844,0.0392225069059394
