w,time_exponent,bo1_0,bz1_0,bz2_0,bo1_1,bz1_1,bz2_1,bt_1,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g1,g2,b1,b2,lmd
0.3,0.6303,0.0007351015649596,0.024434376079061,6.397680111353459e-05,3.615290130286961e-07,0.0070351222069315,1.1900307066076983e-09,6.52940027763694e-07,2.4494514236003224e-10,6.06549156402283e-10,2.496014935331178e-09,2.223042576620113e-09,5.448814416333444e-10,2.029411723490022e-09,6.921844955147734e-10,9.51348431787354e-09,3.5636585068081303e-09,0.0,4.665460562857414e-09,8.20893887197066e-10,4.6825627484668894e-09,1.7144848795957991e-09,2.210071857493762e-09,3.766880255695528e-10,7.077232660742075e-10,5.502937717208369e-09,4.1500766251337724e-10,1.3576961026078908e-09,9.155394621883405e-08,0.9999995150399126,0.9972857836909876,0.9999999034679252,0.0335296706886265
0.375,0.7032,0.0010429273614747,0.024089322254705,7.232219420866743e-05,3.60839535099099e-10,0.0070878826589227,3.4074683041898624e-10,7.787868158672976e-10,7.254751383136287e-11,1.7310915124517994e-10,4.6536245989162924e-10,5.035493727274195e-10,3.5404824175801936e-10,3.0849813584940565e-10,1.7381167054620932e-10,4.2045711887278965e-09,1.2654753733874832e-09,4.389339094629554e-09,6.846769913605306e-10,3.2037484263517766e-10,7.509727634918701e-10,4.915875888016463e-09,1.9351239975002704e-09,8.00610757687432e-10,1.4785419325107862e-10,3.2408366335219173e-09,3.0266995666364385e-10,1.2494124023567692e-10,6.814925255059914e-08,0.999999919341665,0.9911202454412392,0.999999986199406,0.0289571059879896
0.441,0.7597,0.0013368691661209,0.0229432589557075,7.770425430964971e-05,1.464958212567634e-07,0.006966710897528,0.0,1.125032832152467e-07,1.0617375770496381e-09,1.119898063449597e-09,6.705485321618587e-09,5.7621825466626174e-09,6.956554250065245e-10,9.472312865545712e-09,1.403883224945272e-09,1.8997570921740854e-08,1.2730348847319536e-08,1.0477412147396393e-08,6.479028295590792e-09,5.480371748232949e-09,8.676449273511206e-09,2.0860319181256404e-08,1.0446014415303838e-08,6.304559182041744e-09,4.162506061691147e-09,1.5515374981392884e-08,2.127687086271689e-09,1.200387379681048e-09,3.788807105833352e-07,0.999998605094966,0.9999998704585532,0.9999998206236098,0.0309098845864959
0.5,0.7981,2.203963175516346e-07,4.066054526734308e-06,2.281642421241841e-09,1.5852942672266634e-07,4.806940437385007e-09,1.882637831388656e-09,1.0775717473171568e-07,1.9699640633306453e-18,1.9933660011622928e-10,4.765124241223777e-08,5.4886397805753195e-11,6.346073502251446e-11,2.0945784923206936e-11,2.2177062509407007e-10,1.4579465800594992e-05,2.5611187361213863e-11,3.9907655257647054e-05,1.0623517507389368e-07,6.043178237385715e-11,1.7560380526161699e-09,0.042763705678687,1.4746554027100282e-07,2.4484448957515016e-10,2.2010686971064526e-10,1.1147003822442986e-05,2.4663705788249536e-10,3.6626920516753834e-10,0.9680962519665244,0.000219625740535,0.9999999961840338,0.9556154538072812,0.032071941904485
0.621,0.8481,7.18760106e-07,1.77150332e-06,4.24881689e-07,1.16261386e-07,2.30177497e-06,3.10469752e-08,1.38944571e-07,1.80967766e-15,1.69296577e-08,2.10555124e-08,3.96501879e-07,4.24639451e-11,2.04408237e-10,1.05575915e-10,0.000630251006,1.47089739e-07,0.00359601136,4.41028588e-06,5.0989432e-11,2.27895791e-07,0.0547170742,4.26033901e-05,4.681353e-07,1.151204e-10,0.00123154487,9.9799081e-11,1.19474153e-10,0.99995652,3.01551283e-05,0.999997983,0.991671575,0.0373110008
