w,time_exponent,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g,b,lmd
0.48,0.79,1.2941373230467518e-11,5.29989641746561e-10,2.4017450187729763e-07,1.5553604921350573e-07,2.56731399436026e-10,7.291648633050001e-10,1.2349273663417152e-10,7.458551867195571e-06,4.3714316236423027e-10,3.5885554539682694e-05,5.225026075463264e-07,3.2275963484033554e-10,4.230247139570075e-10,0.040329295230313734,3.371127345074893e-07,2.560636829808537e-10,9.630758271113943e-11,1.0506038481593751e-05,3.505870873391847e-10,1.3045117772275763e-09,0.9503478225569024,0.999974506866226,0.03415545779726946
0.5,0.7983,1.0339486253179496e-12,1.9221339605964452e-07,2.454639215231197e-15,4.105096490796788e-08,1.0464257662154206e-07,3.642577407785524e-13,1.0456101485550464e-07,1.4026748116690261e-05,1.0372330219207658e-07,2.791769687413398e-07,3.94120609636572e-07,1.0387442200586167e-07,1.0243711346031673e-07,0.04284073860022492,1.1811531426885275e-06,1.033824212233648e-07,1.0483364078223629e-07,1.121011681465369e-09,1.0377251158729621e-07,1.06356994956843e-07,0.9691854276100127,0.9999950282148141,0.032022046993950004
0.52,0.8061,4.22413714132255e-11,2.2552781505179674e-17,7.046234748652963e-07,1.2108823615238005e-06,8.44311990871888e-10,3.0585988508421043e-11,2.0084184332869602e-10,4.283419735965086e-06,6.769044538054823e-10,1.8055834725385935e-05,1.5938886193164462e-06,1.7150544762339016e-09,1.9116671371673667e-09,0.045383133095488706,2.484901286104789e-07,9.891906872815854e-10,2.187813032208794e-10,7.274981126973554e-07,2.153773739571267e-09,6.851753608948979e-10,0.9874886817142454,0.9999999931174285,0.030755570847241925
0.54,0.8141,1.6861435154174264e-11,6.496671617465916e-09,1.9073181860777575e-06,1.1954475799081643e-06,6.114390446060712e-11,1.044906476411384e-10,6.907066089189087e-11,4.435986781016515e-05,9.948615453492638e-13,0.00020836552573141897,3.8310100857556545e-06,4.271436560599265e-13,7.313845930104319e-10,0.04755629925671743,9.577621222774713e-07,1.272703963568615e-09,2.403148356164645e-13,5.812322537164391e-05,3.8509502419019036e-11,1.1146015255240725e-10,0.9999883456468909,0.9999979187271046,0.030237079318379323
0.56,0.8225,1.3642218118995308e-09,5.451989584022014e-11,8.095730827602276e-09,5.8383935284236055e-09,1.096741306588715e-11,7.995858085429367e-10,3.441907456816713e-11,0.00016575401675376968,1.283083305486427e-09,0.000708656359701758,1.626131864243735e-07,3.2238598396867163e-09,4.5059845338837506e-07,0.050284400422709444,0.00016817027057226293,8.855527584723265e-08,7.08485032451258e-11,0.0002912557216466967,3.4631447746217945e-10,3.992440356802587e-11,0.9999337745167083,0.9999841985511537,0.03078838474550833
0.58,0.8308,1.4211785017301778e-11,5.646891582320999e-12,1.822279216790771e-08,2.8435508955042905e-08,4.3658410491705924e-12,6.871701994439883e-09,4.729320605886081e-11,0.00033858374604401833,3.0176910383155794e-10,0.001713246646850696,7.125761752642557e-07,2.2141361171608038e-11,1.925165791019216e-07,0.05096686829581758,7.637957441591399e-06,1.815213305220758e-08,3.869408287619098e-12,0.0006075124398189951,4.0931473394745216e-12,4.415596839880611e-12,0.9999981092790861,0.9999999971662332,0.03205124965912771
0.6,0.8392,4.2202556883578227e-10,2.7567215981862216e-14,3.228698388513455e-09,2.2186689955023036e-13,9.722970776052827e-14,5.919785831081159e-10,8.506953423487812e-11,0.0004813067251946251,2.2610419546855028e-10,0.0026145211330830124,1.7014862563586482e-06,8.241593608421015e-14,6.878778581950617e-07,0.05273381425110884,1.1889310283435033e-05,2.1683995204536524e-07,1.4194415662468856e-13,0.0009148571269358796,8.26016544569929e-11,7.306769776403549e-14,0.99999999915476,0.999999999943376,0.03420623962668406
0.62,0.8477,0.0,0.0,3.2809735427159204e-08,3.963282074738631e-08,0.0,0.0,1.2435829389997865e-10,0.0006046584642488198,0.0,0.003536897665374531,3.323504429992318e-06,0.0,7.581480950679806e-07,0.054762201900688895,6.629353154449116e-05,5.362363413174865e-07,0.0,0.0012069414330689225,2.884597690603562e-10,0.0,1.0,1.0,0.037154441582254255
0.64,0.8561,1.129078300810751e-13,1.286595054970971e-13,3.540085523891509e-08,1.3074666063358666e-07,6.670051955134649e-11,3.068448512031868e-14,9.635320013282488e-12,0.0007292244918437937,1.5400998521341097e-10,0.004599738590426107,5.052974068916314e-06,9.083746364313309e-11,1.397230479196888e-06,0.05650183695639134,8.266611217767184e-05,6.258008317468861e-07,1.8023738259917998e-10,0.0015108197237178739,1.0980761162355496e-10,1.7674416451173723e-10,0.9999831168854039,0.9999959623278367,0.04090831911655613
0.66,0.8643,2.407233758650618e-10,4.312282749983991e-11,1.3988675677210415e-07,2.959738462496191e-07,3.1467778837848476e-11,3.898601936995973e-07,1.0896758742951259e-10,0.0010900333455610733,4.8324506975764325e-08,0.007190631971395824,1.3529384893861705e-05,6.213738070199842e-10,7.680807976771373e-06,0.05680279195449048,0.00019712481998370937,2.147410510350069e-06,6.832955438131867e-11,0.002368340729926886,9.310241522870975e-12,2.5304754686947166e-10,0.9659483560520253,0.993782937018866,0.04490945317765548
